code	length1	length2	length3	height	width	sex	weight
3	19	20	22.8	28.4	14.7	"nan"	0
3	19.1	20	23.1	26.7	14.7	"female"	110
3	19.4	21	23.7	25.8	13.9	"female"	120
3	20.4	22	24.7	23.5	15.2	"female"	150
3	20.5	22	24.3	27.3	14.6	"female"	145
3	20.5	22	25.3	27.8	15.1	"female"	160
3	21	22	25	26.2	13.3	"nan"	140
3	21.1	22	25	25.6	15.2	"female"	160
3	22	24	27.2	27.7	14.1	"nan"	169
3	22	23	26.7	25.9	13.6	"nan"	161
3	22.1	23	26.8	27.6	15.4	"female"	200
3	23.6	25	27.9	25.4	14	"nan"	180
3	24	26	29.2	30.4	15.4	"nan"	290
3	25	27	30.6	28	15.6	"female"	272
3	29.5	31	35	27.1	15.3	"nan"	390
4	13.5	14	16.5	41.5	14.1	"nan"	55
4	14.3	15	17.4	37.8	13.3	"male"	60
4	16.3	17	19.8	37.4	13.5	"male"	90
4	17.5	19	21.3	39.4	13.7	"male"	120
4	18.4	20	22.4	39.7	14.7	"nan"	150
4	19	20	23.2	36.8	14.2	"nan"	140
4	19	20	23.2	40.5	14.7	"female"	170
4	19.8	21	24.1	40.4	13.1	"female"	145
4	21.2	23	25.8	40.1	14.2	"nan"	200
4	23	25	28	39.6	14.8	"female"	273
4	24	26	29	39.2	14.6	"female"	300
5	9.3	9	10.8	16.1	9.7	"male"	6
5	10	10	11.6	17	10	"female"	7
5	10.1	10	11.6	14.9	9.9	"male"	7
5	10.4	11	12	18.3	11.5	"female"	9
5	10.7	11	12.4	16.8	10.3	"male"	9
5	10.8	11	12.6	15.7	10.2	"male"	8
5	11.3	11	13.1	16.9	9.8	"male"	10
5	11.3	11	13.1	16.9	8.9	"female"	9
5	11.4	12	13.2	16.7	8.7	"female"	9
5	11.5	12	13.4	15.6	10.4	"female"	12
5	11.7	12	13.5	18	9.4	"female"	13
5	12.1	13	13.8	16.5	9.1	"female"	12
5	13.2	14	15.2	18.9	13.6	"female"	19
5	13.8	15	16.2	18.1	11.6	"female"	19
6	30	32	34.8	16	9.7	"nan"	200
6	31.7	34	37.8	15.1	11	"female"	300
6	32.7	35	38.8	15.3	11.3	"nan"	300
6	34.8	37	39.8	15.8	10.1	"nan"	300
6	35.5	38	40.5	18	11.3	"nan"	430
6	36	38	41	15.6	9.7	"male"	345
6	40	42	45.5	16	9.5	"nan"	456
6	40	42	45.5	15	9.8	"nan"	510
6	40.1	43	45.8	17	11.2	"nan"	540
6	42	45	48	14.5	10.2	"nan"	500
6	43.2	46	48.7	16	10	"female"	567
6	44.8	48	51.2	15	10.5	"female"	770
6	48.3	51	55.1	16.2	11.2	"nan"	950
6	52	56	59.7	17.9	11.7	"nan"	1250
6	56	60	64	15	9.6	"nan"	1600
6	56	60	64	15	9.6	"female"	1550
6	59	63	68	15.9	11	"female"	1650
7	7.5	8	8.8	24	16	"nan"	5
7	12.5	13	14.7	24	13.6	"nan"	32
7	13.8	15	16	23.9	15.2	"nan"	40
7	15	16	17.2	26.7	15.3	"nan"	51
7	15.7	17	18.5	24.8	15.9	"nan"	70
7	16.2	18	19.2	27.2	17.3	"nan"	100
7	16.8	18	19.4	26.8	16.1	"nan"	78
7	17.2	19	20.2	27.9	15.1	"nan"	80
7	17.8	19	20.8	24.7	14.6	"nan"	85
7	18.2	20	21	24.2	13.2	"nan"	85
7	19	21	22.5	25.3	15.8	"nan"	110
7	19	21	22.5	26.3	14.7	"nan"	115
7	19	21	22.5	25.3	16.3	"male"	125
7	19.3	21	22.8	28	15.5	"female"	130
7	20	22	23.5	26	14.5	"female"	120
7	20	22	23.5	24	15	"nan"	120
7	20	22	23.5	26	15	"nan"	130
7	20	22	23.5	25	15	"nan"	135
7	20	22	23.5	23.5	17	"female"	110
7	20.5	22	24	24.4	15.1	"female"	130
7	20.5	22	24	28.3	15.1	"female"	150
7	20.7	22	24.2	24.6	15	"nan"	145
7	21	23	24.5	21.3	14.8	"nan"	150
7	21.5	23	25	25.1	14.9	"nan"	170
7	22	24	25.5	28.6	14.6	"nan"	225
7	22	24	25.5	25	15	"nan"	145
7	22.6	24	26.2	25.7	15.9	"nan"	188
7	23	25	26.5	24.3	13.9	"female"	180
7	23.5	25	27	24.3	15.7	"nan"	197
7	25	26	28	25.6	14.8	"nan"	218
7	25.2	27	28.7	29	17.9	"female"	300
7	25.4	27	28.9	24.8	15	"female"	260
7	25.4	27	28.9	24.4	15	"nan"	265
7	25.4	27	28.9	25.2	15.8	"female"	250
7	25.9	28	29.4	26.6	14.3	"nan"	250
7	26.9	28	30.1	25.2	15.4	"female"	300
7	27.8	30	31.6	24.1	15.1	"female"	320
7	30.5	32	34	29.5	17.7	"nan"	514
7	32	34	36.5	28.1	17.5	"nan"	556
7	32.5	35	37.3	30.8	20.9	"female"	840
7	34	36	39	27.9	17.6	"female"	685
7	34	36	38.3	27.7	17.6	"female"	700
7	34.5	37	39.4	27.5	15.9	"female"	700
7	34.6	37	39.3	26.9	16.2	"female"	690
7	36.5	39	41.4	26.9	18.1	"female"	900
7	36.5	39	41.4	26.9	14.5	"nan"	650
7	36.6	39	41.3	30.1	17.8	"nan"	820
7	36.9	40	42.3	28.2	16.8	"female"	850
7	37	40	42.5	27.6	17	"female"	900
7	37	40	42.4	29.2	17.6	"female"	1015
7	37.1	40	42.5	26.2	15.6	"female"	820
7	39	42	44.6	28.7	15.4	"female"	1100
7	39.8	43	45.2	26.4	16.1	"female"	1000
7	40.1	43	45.5	27.5	16.3	"female"	1100
7	40.2	43	46	27.4	17.7	"male"	1000
7	41.1	44	46.6	26.8	16.3	"female"	1000
