edad	sexo	estudios	neuroticism	extraversion	openness	agreeableness	conscientiousness	impulsiveness	sensation	nicotineD	nicotineY	coc
1.82213	-.48246	-2.43591	.31287	.32197	1.06238	.13136	-.65253	.52975	-.52593	0	1	"decade"
1.09449	-.48246	.45468	-1.55078	1.2861	.29338	-.01729	.7583	-.21712	-.84637	1	0	"never"
2.59171	.48246	-.05921	-.24649	-.94779	-1.11902	-.76096	.41594	-1.37983	-.21575	1	0	"never"
.49788	-.48246	1.16365	.04257	-.43999	-.01928	-2.07848	.7583	-.71126	.07987	1	0	"never"
.49788	.48246	.45468	.82562	.00332	1.06238	1.81866	-.40581	-.21712	-.21575	1	0	"never"
.49788	-.48246	1.16365	-.14882	-.94779	-1.27553	-.01729	-.65253	-.21712	-.52593	1	0	"year"
.49788	-.48246	-.05921	-.92104	-.57545	-.31776	-.15487	-1.0145	-.21712	-.21575	0	1	"year"
-.07854	-.48246	.45468	-1.05308	1.45421	.44585	1.2861	.93949	-.21712	.07987	1	0	"never"
-.07854	.48246	.45468	-.46725	.47617	1.24033	.94156	1.63088	-1.37983	-2.07848	0	0	"never"
1.09449	.48246	-.61113	.31287	.63779	-1.11902	.28783	1.46191	-.71126	-.84637	1	0	"never"
1.09449	-.48246	1.16365	-2.05048	.80523	.29338	.94156	1.13407	-2.55524	-1.18084	0	0	"never"
1.09449	-.48246	-1.7379	.13606	-.80615	-.31776	-.15487	-.65253	.19268	-.84637	0	1	"decade"
-.07854	.48246	1.16365	.82562	-.57545	-1.97495	-.91699	.25953	.52975	1.2247	0	1	"never"
.49788	-.48246	1.16365	1.02119	-.15487	-.17779	-1.21213	-.00665	-.71126	-.84637	0	1	"decade"
1.09449	-.48246	-.05921	1.13281	.96248	-.58331	-.91699	-1.92173	1.86203	1.92173	1	0	"decade"
1.82213	.48246	.45468	-.14882	.00332	-1.42424	.28783	-.78155	.52975	-1.54858	1	0	"never"
1.09449	-.48246	1.16365	-1.43907	-.15487	1.06238	.28783	.25953	-.21712	-.21575	1	0	"decade"
1.82213	-.48246	-1.7379	.04257	1.11406	-.58331	-1.07533	-1.13788	1.29221	1.2247	1	0	"year"
1.82213	.48246	-.05921	.04257	-.69509	-1.11902	-.45321	-.40581	-1.37983	-2.07848	0	0	"never"
.49788	.48246	-.61113	.04257	.00332	-1.68062	-.01729	.25953	-1.37983	-1.54858	0	0	"never"
-.07854	.48246	.45468	-.58016	.63779	-1.97495	.28783	.7583	-.71126	-.52593	0	0	"never"
1.09449	-.48246	-1.22751	.22393	.63779	-.01928	-.45321	-.40581	1.86203	1.2247	0	1	"year"
1.09449	-.48246	.45468	-.46725	-1.23177	-1.27553	-1.6209	-.14277	-1.37983	-1.54858	0	0	"never"
-.07854	.48246	1.98437	1.37297	.32197	.29338	-.30172	-.27607	-1.37983	.07987	1	0	"never"
1.09449	-.48246	1.16365	-2.21844	1.58487	1.24033	.13136	1.30612	-1.37983	-1.18084	0	0	"never"
-.07854	-.48246	.45468	-.58016	-1.37639	-1.82919	-1.34289	.41594	-1.37983	-1.18084	0	1	"never"
1.09449	-.48246	.45468	1.02119	-.30033	-.71727	-.60633	-.00665	-1.37983	-1.18084	0	0	"never"
1.09449	-.48246	1.98437	-1.55078	.47617	1.06238	-.45321	.93949	-1.37983	-.52593	1	0	"year"
.49788	-.48246	-.61113	.73545	.47617	-.84732	1.11406	.58489	.52975	-.21575	0	0	"never"
1.09449	-.48246	-1.7379	-1.05308	-.69509	-1.11902	1.2861	.41594	-.71126	-1.18084	0	0	"never"
-.07854	-.48246	1.16365	-.34799	-.30033	1.06238	-.91699	-.14277	.88113	-.21575	0	1	"decade"
.49788	-.48246	-.05921	-.92104	.00332	.29338	-.15487	-.27607	-.21712	.07987	1	0	"year"
1.09449	.48246	-1.7379	-.05188	-.69509	-1.68062	.28783	-.00665	-1.37983	-.84637	1	0	"never"
-.07854	-.48246	-.61113	-.34799	-.30033	.14143	-1.92595	-.27607	.52975	.7654	1	0	"year"
1.09449	.48246	-1.22751	-.46725	1.11406	-.31776	1.11406	.12331	-2.55524	-.84637	0	1	"never"
1.09449	-.48246	-1.22751	-1.55078	.96248	-.01928	.43852	.93949	.19268	.40148	1	0	"never"
1.09449	-.48246	-.05921	-.67825	-.57545	-.31776	.28783	1.13407	-.71126	-.21575	1	0	"never"
2.59171	.48246	-1.7379	-1.1943	-1.7625	-2.8595	-1.47955	.25953	.52975	-2.07848	1	0	"never"
-.07854	-.48246	.45468	-.14882	.16767	-1.55521	-.76096	-.40581	.52975	-.21575	0	0	"never"
1.09449	.48246	-1.43719	-.34799	-.69509	-1.55521	.43852	.58489	-2.55524	-2.07848	0	1	"never"
.49788	-.48246	.45468	.13606	-1.6334	-.58331	-1.21213	-.40581	-.21712	-2.07848	0	1	"decade"
.49788	-.48246	-.61113	-.79151	-.80615	-2.09015	-1.6209	-2.18109	-2.55524	-1.18084	0	1	"decade"
.49788	-.48246	-.05921	-.34799	-.80615	-1.97495	1.11406	-.65253	-.21712	-.21575	1	0	"never"
2.59171	.48246	1.98437	.04257	.32197	.44585	-.15487	1.46191	-.21712	-.21575	0	0	"decade"
1.82213	.48246	.45468	-.79151	-1.23177	-.01928	-.91699	-.14277	.88113	.40148	1	0	"decade"
1.82213	-.48246	1.16365	-2.05048	1.45421	-.97631	.59042	1.46191	-.21712	-1.18084	0	0	"never"
1.82213	.48246	-1.43719	1.02119	-.94779	-1.11902	1.45039	-1.64101	.19268	-.21575	0	1	"never"
1.09449	-.48246	-1.7379	-.34799	.16767	-.31776	-.30172	-.14277	-1.37983	.07987	0	0	"never"
-.07854	.48246	-1.22751	-.46725	.00332	-1.55521	.13136	.41594	.52975	1.2247	0	1	"never"
.49788	-.48246	-.61113	.73545	-.15487	-1.11902	.13136	-.14277	-.21712	.40148	0	1	"never"
1.82213	-.48246	-1.7379	-.92104	.16767	-.45174	-.30172	.25953	-.71126	.40148	0	0	"never"
.49788	.48246	-.61113	.31287	-1.92173	-1.42424	-.76096	-.52745	-1.37983	-2.07848	1	0	"never"
.49788	.48246	1.16365	.91093	-.57545	.29338	-.60633	-.27607	.52975	-.21575	0	0	"never"
.49788	.48246	1.16365	1.37297	.32197	.7233	.28783	-.78155	-1.37983	.07987	0	1	"never"
.49788	-.48246	-.05921	.41667	-.43999	.7233	.28783	.7583	.88113	.7654	1	0	"never"
-.07854	-.48246	-1.22751	-1.55078	-.30033	-.45174	.28783	-.00665	-.71126	-.84637	1	0	"never"
2.59171	.48246	-1.7379	-.14882	-.80615	-.97631	.76096	.41594	-1.37983	-1.54858	0	0	"never"
1.09449	-.48246	1.16365	-.67825	-.57545	-.97631	.59042	-.14277	-1.37983	-2.07848	0	1	"never"
1.09449	-.48246	1.16365	-.46725	.32197	1.06238	-1.6209	1.13407	.52975	-.21575	1	0	"decade"
.49788	.48246	.45468	.13606	-1.09207	.29338	-.15487	.7583	-1.37983	-1.54858	0	1	"decade"
1.09449	.48246	1.16365	-.46725	.63779	-.31776	-.60633	-1.13788	.19268	-.84637	1	0	"decade"
.49788	-.48246	1.98437	-1.1943	-.43999	-.01928	-.60633	.93949	-.21712	1.2247	1	0	"decade"
-.07854	.48246	.45468	-.67825	3.00537	.7233	.94156	1.63088	.52975	.40148	0	1	"never"
-.07854	-.48246	1.16365	-1.05308	2.57309	.58331	-1.47955	-.40581	-.21712	1.2247	0	0	"year"
1.09449	.48246	-1.7379	-.58016	.47617	-1.68062	-.15487	.93949	-1.37983	-.84637	0	1	"never"
1.09449	-.48246	-1.22751	-.58016	1.2861	1.43533	-1.34289	-.00665	-.71126	1.2247	1	0	"year"
1.09449	.48246	-.05921	.04257	.63779	-.31776	-.30172	.12331	.19268	.7654	0	0	"never"
-.07854	.48246	-.61113	-.92104	.16767	-.17779	1.11406	.58489	-.71126	.07987	0	1	"decade"
.49788	-.48246	-.05921	-2.21844	.47617	-1.82919	-.76096	2.04506	-1.37983	-1.54858	0	0	"never"
-.07854	.48246	-.61113	1.02119	-.30033	-1.82919	.28783	-.40581	-1.37983	-.84637	0	0	"never"
.49788	.48246	-1.7379	.13606	.00332	-1.27553	-.76096	.58489	.52975	-.21575	0	1	"year"
-.07854	.48246	.45468	-.46725	2.127	.14143	.13136	.7583	1.86203	1.2247	1	0	"year"
1.09449	.48246	-.61113	-.79151	.47617	-1.42424	-.91699	-.52745	-.71126	.07987	0	1	"never"
1.09449	-.48246	1.16365	-.14882	.32197	.14143	-.30172	-.14277	.19268	-.52593	0	0	"never"
-.07854	-.48246	1.16365	.31287	-1.09207	-.84732	-.60633	-.65253	.19268	.40148	0	0	"never"
-.07854	.48246	.45468	-1.1943	.32197	.88309	-1.21213	-.78155	-.21712	-.21575	0	1	"never"
1.09449	.48246	-.05921	.04257	.63779	.29338	.13136	.7583	.19268	-.21575	0	1	"never"
.49788	-.48246	-.61113	-2.3436	1.93886	1.43533	-.76096	-1.38502	1.86203	1.2247	0	1	"decade"
-.07854	.48246	-.05921	.22393	-.57545	-.84732	.28783	1.13407	-1.37983	-2.07848	0	1	"decade"
.49788	-.48246	-.05921	.62967	-.57545	.14143	-1.772	-.40581	.52975	-.21575	0	1	"never"
-.07854	.48246	.45468	1.60383	.80523	1.43533	.13136	-1.13788	.52975	.40148	0	1	"year"
.49788	.48246	-.61113	1.8399	-1.92173	-2.39883	1.11406	.25953	-.21712	-1.54858	0	1	"never"
.49788	.48246	.45468	-.34799	.63779	-.97631	.28783	1.46191	-.21712	-.84637	1	0	"never"
-.07854	.48246	1.16365	-1.05308	.63779	-.97631	-1.07533	.7583	.19268	1.92173	1	0	"never"
.49788	.48246	-.05921	1.49158	-1.23177	-1.55521	-2.07848	-.78155	.52975	.07987	1	0	"never"
1.82213	-.48246	1.16365	.22393	.16767	-.17779	-.30172	-.89891	-.21712	-.52593	1	0	"never"
-.07854	.48246	.45468	.22393	-.69509	-.45174	-.01729	.12331	1.29221	.07987	0	1	"decade"
1.09449	-.48246	-1.7379	-.34799	1.93886	.29338	.43852	.58489	-.21712	-.21575	0	0	"never"
1.82213	-.48246	.45468	-.46725	1.2861	.44585	.13136	1.13407	.52975	.40148	1	0	"never"
1.09449	-.48246	.45468	-1.1943	.63779	-1.11902	-.45321	-.00665	-.21712	-.84637	0	0	"never"
1.09449	.48246	-1.43719	-.34799	-.80615	-.84732	.28783	.93949	-1.37983	-2.07848	0	0	"never"
.49788	-.48246	1.98437	.04257	.63779	.14143	.13136	.25953	-.21712	-1.18084	1	0	"never"
1.09449	.48246	1.16365	-.79151	.96248	-1.11902	.94156	.41594	.19268	.40148	0	0	"never"
1.09449	.48246	-1.7379	.91093	.32197	-1.42424	.43852	2.33337	-.71126	-1.18084	0	0	"never"
1.09449	.48246	-1.7379	-1.55078	-.15487	-1.27553	2.46262	.58489	-1.37983	-2.07848	0	1	"never"
.49788	.48246	-1.22751	-.24649	-.57545	-.58331	-.15487	.25953	-1.37983	-1.54858	0	1	"never"
.49788	-.48246	1.16365	-.05188	.16767	.29338	-.15487	.12331	.52975	.40148	0	1	"never"
-.07854	.48246	1.16365	3.27393	-1.50796	-.31776	.59042	-.65253	-1.37983	.40148	1	0	"decade"
.49788	.48246	-1.7379	-1.69163	1.58487	-.58331	1.81866	1.63088	.52975	-.52593	0	0	"never"
1.09449	.48246	.45468	-.14882	-.30033	-1.68062	1.81866	1.63088	1.29221	.07987	0	0	"never"
1.09449	.48246	.45468	-1.1943	1.58487	.29338	.76096	.41594	-2.55524	-1.18084	0	1	"never"
1.82213	-.48246	.45468	-.46725	-.80615	.14143	.28783	.93949	-1.37983	-1.18084	0	1	"never"
1.09449	-.48246	-1.7379	-.05188	.32197	-.58331	.94156	-.27607	-.21712	-.21575	0	1	"never"
-.07854	.48246	.45468	1.98437	.32197	1.43533	.94156	-.27607	-.71126	-.21575	0	0	"never"
.49788	.48246	-1.7379	-.79151	.63779	-1.11902	1.2861	.58489	-1.37983	-2.07848	0	1	"never"
.49788	-.48246	-1.43719	-.46725	-.30033	-1.27553	.28783	-.14277	.52975	.40148	0	1	"never"
.49788	-.48246	-.05921	-1.69163	1.2861	-.58331	1.2861	2.04506	-.71126	-.52593	0	0	"never"
1.09449	-.48246	-.05921	.13606	-1.09207	-.45174	-1.21213	-.00665	-.21712	.7654	1	0	"never"
1.09449	.48246	.45468	-.46725	.16767	-1.11902	2.23427	.7583	1.29221	.40148	1	0	"never"
1.82213	-.48246	-.05921	.22393	-1.23177	-.17779	-.45321	-.27607	.19268	-1.18084	0	0	"never"
.49788	-.48246	1.16365	-.58016	.47617	-.71727	.13136	.93949	-.21712	-.52593	0	0	"never"
.49788	.48246	-.05921	-.05188	-1.09207	-2.63199	-.91699	.25953	-1.37983	-1.54858	0	0	"never"
1.09449	.48246	.45468	-.79151	1.93886	-.71727	2.03972	1.63088	-.21712	-1.18084	1	0	"never"
.49788	.48246	-.61113	-.24649	1.2861	.14143	.59042	1.13407	.19268	.07987	1	0	"never"
.49788	.48246	.45468	.52135	-1.6334	-1.82919	.43852	-.89891	-.71126	-.84637	1	0	"never"
-.07854	.48246	.45468	-.46725	-1.50796	-.71727	-.60633	-.65253	-2.55524	-1.54858	0	1	"decade"
-.07854	-.48246	.45468	-.67825	.96248	-1.68062	.76096	.7583	-.21712	-.52593	1	0	"never"
-.95197	.48246	-.61113	2.82196	-1.37639	.7233	-.45321	.58489	-.21712	.7654	0	0	"never"
.49788	.48246	.45468	.62967	-1.37639	-1.27553	.28783	-.27607	-.71126	-.84637	0	0	"never"
.49788	.48246	-.61113	1.23461	.00332	-.31776	1.11406	.12331	.19268	-.52593	0	1	"decade"
-.07854	-.48246	-1.7379	-1.05308	1.11406	-1.82919	-.45321	.7583	-.21712	.7654	1	0	"never"
.49788	.48246	.45468	-.24649	.16767	-.31776	-.30172	.41594	.88113	1.2247	0	0	"never"
1.09449	.48246	-.61113	-.46725	-.57545	-.58331	.13136	.25953	-.21712	-1.18084	0	0	"never"
1.09449	-.48246	1.16365	1.02119	.80523	.44585	-.15487	.25953	-.21712	.40148	0	1	"decade"
.49788	-.48246	.45468	-.67825	.32197	-.84732	1.81866	-.40581	-.71126	-1.18084	0	1	"never"
-.07854	.48246	.45468	.22393	.00332	-.17779	1.61108	.93949	-1.37983	-.21575	1	0	"never"
-.07854	.48246	-.61113	1.8399	.00332	-.31776	.94156	.12331	-.21712	-.84637	0	1	"never"
-.07854	.48246	1.98437	.13606	.32197	-1.55521	1.45039	1.13407	-1.37983	-.52593	1	0	"never"
1.09449	-.48246	1.16365	-.24649	-.30033	-.31776	-.45321	1.63088	-1.37983	-.84637	0	0	"never"
-.95197	-.48246	-.61113	1.49158	-1.23177	.7233	-2.35413	-1.92173	.88113	.07987	0	1	"year"
-.07854	.48246	-.05921	.04257	.00332	-.97631	-.45321	.93949	.52975	-.52593	0	0	"never"
-.07854	.48246	.45468	.22393	1.2861	-1.27553	-.30172	-1.13788	.52975	.40148	1	0	"decade"
-.95197	.48246	-1.22751	-.34799	.00332	-1.42424	.59042	-.14277	-.71126	.40148	0	1	"never"
1.09449	-.48246	-1.7379	1.37297	-.30033	-.31776	.13136	-.14277	.88113	.40148	1	0	"decade"
.49788	-.48246	1.16365	-.34799	.96248	2.15324	.76096	-.78155	1.29221	1.92173	1	0	"never"
1.09449	.48246	-.05921	.52135	-.57545	-.45174	-.45321	.7583	.19268	-1.18084	0	1	"never"
.49788	.48246	.45468	1.02119	.63779	1.24033	.13136	.25953	.52975	.40148	0	0	"never"
.49788	.48246	-.05921	1.02119	-.57545	-2.21069	.76096	-1.5184	.88113	.07987	0	1	"never"
1.82213	.48246	.45468	.62967	.00332	.44585	1.2861	.12331	.19268	.07987	0	1	"never"
.49788	.48246	.45468	-.14882	-.57545	-.84732	-1.21213	-.52745	-1.37983	-1.18084	0	0	"never"
.49788	.48246	.45468	1.49158	.00332	-1.27553	-.91699	1.13407	-.71126	-.52593	0	0	"never"
1.09449	.48246	.45468	.82562	-.94779	-.45174	.76096	-.14277	.19268	-.21575	0	1	"never"
.49788	.48246	-.05921	.41667	-.15487	-.97631	1.11406	-.65253	-1.37983	-1.18084	0	1	"decade"
1.09449	.48246	-.05921	.31287	.63779	-1.55521	.28783	.93949	.19268	.07987	1	0	"never"
-.07854	-.48246	1.98437	-1.32828	-.43999	-.31776	.59042	.93949	-.71126	-1.18084	0	0	"never"
.49788	.48246	-.61113	.31287	.80523	-.31776	1.2861	.7583	-1.37983	-1.18084	0	0	"never"
-.95197	.48246	.45468	1.98437	-.43999	.29338	-.76096	.93949	-.71126	.40148	0	1	"year"
1.82213	-.48246	-1.22751	.04257	-.80615	-.97631	.59042	.25953	-1.37983	-1.18084	0	1	"never"
.49788	.48246	.45468	.31287	.63779	-.01928	.76096	-.14277	-.21712	-.52593	0	0	"decade"
.49788	.48246	1.16365	-.67825	1.45421	.14143	.28783	1.81175	-1.37983	-1.54858	1	0	"never"
1.82213	.48246	-1.7379	-.79151	-.80615	-1.97495	1.11406	.58489	-1.37983	-1.54858	1	0	"never"
1.09449	.48246	-1.7379	.41667	-1.37639	-2.09015	.59042	-.27607	-1.37983	-2.07848	0	1	"never"
-.95197	.48246	1.16365	-.34799	.00332	-.45174	.13136	.7583	-.71126	-.84637	0	1	"never"
1.82213	.48246	-.05921	-1.43907	.00332	-.84732	.59042	-.27607	-.71126	-1.54858	0	0	"never"
-.95197	-.48246	.45468	-.34799	1.2861	-1.11902	.59042	-.52745	.52975	.07987	1	0	"never"
-.07854	.48246	-.05921	-.79151	-.30033	-.17779	.28783	-.52745	.88113	.07987	0	1	"decade"
1.09449	.48246	.45468	.31287	-1.09207	-.45174	.13136	.12331	-1.37983	.07987	0	0	"never"
-.07854	.48246	.45468	-.92104	1.2861	-.01928	-.01729	.41594	-.71126	-1.18084	0	0	"never"
1.82213	.48246	.45468	.62967	.32197	.7233	-.30172	.93949	.52975	.07987	0	1	"never"
-.95197	-.48246	.45468	-.58016	.32197	-.58331	1.2861	-.89891	.19268	-1.18084	0	0	"never"
1.82213	.48246	.45468	-.34799	.47617	-.71727	-.91699	-.52745	-.71126	-.84637	0	0	"never"
-.07854	.48246	-.05921	-.05188	.47617	.58331	.76096	-.00665	1.86203	1.2247	0	1	"year"
1.09449	.48246	-.05921	-.46725	2.32338	.7233	1.81866	1.30612	.52975	.07987	0	1	"year"
-.95197	.48246	.45468	-.58016	.16767	-.84732	1.11406	1.46191	.52975	1.2247	0	0	"never"
.49788	-.48246	1.16365	-.14882	-.94779	-.58331	-1.34289	1.30612	-.71126	-.84637	0	1	"year"
.49788	.48246	.45468	-.67825	1.2861	-.45174	.94156	1.13407	.19268	-.84637	1	0	"never"
2.59171	-.48246	-2.43591	-1.55078	-1.09207	-2.39883	-.91699	-.65253	-1.37983	-2.07848	0	1	"never"
-.07854	.48246	.45468	-.14882	.96248	1.24033	-.01729	.25953	-.21712	.40148	0	1	"decade"
.49788	.48246	-1.7379	-.14882	1.11406	.29338	-.91699	-1.0145	1.86203	.40148	0	0	"never"
-.95197	.48246	.45468	-.05188	1.2861	.58331	.13136	.41594	.88113	.07987	0	0	"never"
.49788	.48246	-.05921	-.67825	.47617	-.58331	.59042	-.14277	-.21712	.40148	0	1	"decade"
.49788	.48246	.45468	.13606	.00332	-.17779	-.30172	-.00665	.52975	1.2247	0	1	"year"
-.07854	-.48246	1.16365	-1.43907	.47617	1.06238	-.45321	1.13407	-1.37983	-.84637	0	0	"never"
-.07854	.48246	-.61113	.73545	.16767	-1.42424	-.01729	-1.25773	1.86203	.7654	0	0	"never"
1.09449	.48246	-1.7379	-.67825	-.57545	-1.11902	1.11406	.93949	-1.37983	-2.07848	0	0	"never"
-.07854	.48246	-.05921	.13606	.63779	-.84732	1.81866	.58489	-.21712	-1.18084	0	1	"never"
1.09449	.48246	-.05921	.52135	-.15487	-1.27553	.94156	.12331	-1.37983	-1.54858	0	0	"never"
-.07854	.48246	-.05921	-.14882	1.11406	.44585	1.2861	1.30612	.19268	1.2247	1	0	"never"
-.07854	.48246	.45468	1.60383	-.30033	-.71727	1.11406	-.40581	.19268	.07987	0	1	"year"
-.07854	.48246	-.05921	.22393	1.11406	.29338	1.45039	-.00665	.88113	.7654	0	1	"decade"
.49788	-.48246	-.05921	1.23461	.80523	.44585	1.45039	-1.64101	1.86203	.7654	0	1	"decade"
-.07854	.48246	1.16365	.31287	1.11406	-.84732	-1.07533	.7583	-.21712	-.52593	0	1	"never"
.49788	.48246	-.61113	-.34799	-.57545	.14143	1.11406	.25953	-1.37983	-.84637	0	1	"decade"
-.95197	.48246	.45468	.82562	-.30033	.29338	-.01729	.12331	.19268	.07987	0	1	"never"
-.07854	.48246	.45468	-.14882	.47617	-.45174	-.76096	.93949	.52975	-.52593	1	0	"never"
.49788	.48246	.45468	-.24649	.63779	.7233	1.11406	.25953	1.29221	1.2247	1	0	"decade"
1.82213	-.48246	.45468	-1.1943	1.11406	-.31776	1.11406	.93949	-.21712	.07987	1	0	"never"
1.09449	.48246	.45468	-.46725	1.45421	.29338	.43852	.7583	-.21712	-.21575	0	0	"never"
.49788	.48246	.45468	-1.32828	.63779	.88309	-.45321	.25953	-1.37983	-1.54858	0	1	"year"
1.09449	.48246	.45468	-.46725	.47617	-.71727	1.45039	1.46191	-.21712	-.84637	1	0	"never"
-.95197	-.48246	-.61113	.22393	.96248	-.97631	-.60633	.58489	1.29221	.40148	0	1	"never"
1.09449	-.48246	1.16365	-.67825	.32197	-.01928	-.76096	-.14277	.19268	.07987	1	0	"decade"
1.09449	.48246	.45468	-1.05308	1.45421	.14143	.94156	1.63088	-1.37983	-2.07848	0	0	"never"
.49788	.48246	-.05921	1.02119	-2.21069	-1.82919	.59042	.41594	-1.37983	-1.54858	0	1	"never"
2.59171	.48246	1.16365	.13606	-1.09207	-.45174	-.45321	.25953	-.21712	-1.54858	1	0	"never"
-.07854	.48246	.45468	.04257	1.2861	-.01928	.13136	.7583	.52975	.7654	0	0	"never"
1.09449	-.48246	.45468	-.67825	.80523	-1.42424	.94156	.25953	.52975	.40148	0	0	"never"
-.07854	.48246	.45468	.41667	.96248	-.01928	-.91699	1.63088	.19268	.40148	1	0	"never"
-.07854	.48246	-.05921	.04257	.96248	-1.27553	2.23427	2.04506	-1.37983	-2.07848	0	0	"never"
-.07854	.48246	1.16365	1.49158	.32197	-.17779	.43852	.41594	.19268	-.21575	0	0	"never"
-.07854	.48246	-1.7379	.91093	-.15487	-2.21069	.28783	1.30612	-1.37983	-2.07848	0	1	"never"
-.95197	.48246	-1.22751	.52135	-.15487	-.71727	-.60633	.25953	-.21712	-.21575	0	0	"never"
1.09449	.48246	-.05921	-1.86962	.63779	.7233	1.61108	.25953	-1.37983	-.84637	0	0	"never"
.49788	.48246	1.16365	.62967	-1.23177	-.01928	1.61108	2.63199	-1.37983	-.84637	1	0	"never"
-.07854	.48246	-1.22751	2.127	-1.23177	-.84732	.76096	-1.0145	.19268	-1.18084	1	0	"never"
-.95197	.48246	-.61113	1.49158	-1.50796	-3.27393	.76096	-.89891	-1.37983	-1.54858	0	1	"never"
-.07854	.48246	.45468	-.58016	1.11406	.7233	.94156	.93949	-1.37983	-.21575	0	1	"year"
.49788	-.48246	.45468	1.98437	-1.50796	-.17779	1.11406	-2.90161	-.71126	-.52593	0	0	"never"
-.07854	.48246	-.61113	-.24649	-.94779	-1.68062	-1.47955	-1.38502	-2.55524	-1.54858	0	1	"never"
